gender,emotion,mfcc0_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc0_std,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,mfcc14_std,mfcc15_std,mfcc16_std,mfcc17_std,mfcc18_std,mfcc19_std,mfcc0_max,mfcc1_max,mfcc2_max,mfcc3_max,mfcc4_max,mfcc5_max,mfcc6_max,mfcc7_max,mfcc8_max,mfcc9_max,mfcc10_max,mfcc11_max,mfcc12_max,mfcc13_max,mfcc14_max,mfcc15_max,mfcc16_max,mfcc17_max,mfcc18_max,mfcc19_max
female,disgust,-502.9451,24.970222,-7.889404,3.681553,-6.554233,-5.847499,-4.6020036,-12.381574,-7.8906026,-4.564124,-3.7703211,-5.502883,-3.9235165,-0.24677494,-7.5014873,-3.3890276,-3.146889,-0.7002589,-0.9176239,1.7991906,163.59836,42.126667,27.275105,25.75868,19.896662,13.609947,13.315832,17.271975,13.594084,10.824054,9.146832,9.769308,8.010241,6.0127544,10.000407,6.362225,7.6788416,7.4174953,9.814075,14.696295,-196.98927,141.16812,56.853424,88.376686,36.301514,24.923397,37.727264,5.583481,15.77891,24.769867,12.920698,20.193993,26.299578,20.379591,2.9811063,13.056322,13.902248,36.093742,42.36685,79.99834
male,angry,-616.10614,57.966923,5.354635,18.125034,13.297169,5.6371384,8.387172,-6.5582724,-2.407176,5.8679104,-3.2523603,-0.06225207,7.169672,-0.39495948,1.9150357,2.179981,-0.28788036,1.4044048,0.6019126,-0.47710612,187.67154,67.76198,23.786064,19.538523,16.989754,19.67673,9.143986,15.658411,13.821997,7.3269544,11.813977,10.612444,8.00056,7.602845,8.171575,6.0160146,7.571173,9.38953,6.5302186,5.432075,-252.44907,217.44666,62.31407,77.469284,63.25428,33.54397,36.83181,14.074419,13.8296385,34.335068,15.975915,20.78275,30.895802,12.351362,15.656734,14.0760765,13.537869,19.39713,15.91991,14.127723
male,calm,-760.9573,70.84682,14.50941,19.895674,16.550034,6.3764596,-3.302317,-2.0840952,3.5492284,2.064969,-3.8670197,4.1734357,-0.58105016,-0.5791382,-0.018136501,-0.5511407,1.0299702,0.3811262,-5.699576,4.115936,159.59554,55.666508,23.662256,15.892935,13.458593,14.477878,9.980994,10.627051,8.653048,9.127601,9.719845,6.800633,8.840012,6.654147,5.3571033,5.4189143,4.843404,3.9662614,6.7836905,4.8611717,-491.11258,177.84097,87.58823,60.18325,63.02501,35.95555,28.892925,15.269188,23.520458,28.710632,13.114049,21.621307,13.728319,14.262261,13.466009,15.905382,12.251741,11.864716,4.8931713,19.057236
male,angry,-367.85608,39.10109,-0.6401435,7.781474,-7.0142965,-7.768323,0.3421883,0.022183767,-6.2027164,-7.1647735,0.9769766,-2.9619377,-1.8946786,-0.3442,-3.5043802,-3.0661912,-5.278466,-0.64609647,-4.3298187,0.115464784,193.3274,51.528316,24.285412,21.38682,25.53154,20.090311,12.433328,11.930871,11.205154,11.8735075,8.961996,7.3436527,9.074261,8.087817,9.331435,7.1398335,9.806141,6.7170343,9.001548,6.4129524,-50.079884,174.9128,46.18251,64.35509,41.536407,23.9701,28.802792,47.751923,13.950086,11.762578,35.1136,11.590728,19.599554,27.319101,11.197649,8.470995,8.06752,9.35412,9.733707,13.348915
female,fear,-465.8665,24.876696,-16.959995,-2.0052402,-7.1564035,-7.661453,-0.829838,-13.5636,-8.598361,-1.9535632,-4.9375916,-1.8185548,-0.4514613,6.6764627,3.3075266,6.1967583,7.8593545,15.1683445,13.796354,12.98427,147.06056,37.00606,30.136034,22.063406,19.838749,20.01166,12.685378,20.088074,13.785809,11.854078,11.610088,11.680099,10.218305,13.244732,14.927853,9.277769,11.55229,17.684608,15.972909,14.798517,-169.74779,125.99251,42.65999,74.0437,19.554298,19.182426,47.558533,13.674116,13.206391,33.472496,15.912954,48.992264,25.916119,71.55336,68.478,46.703644,53.599056,73.892044,79.721565,58.484016
male,neutral,-624.06793,60.9852,-3.7822173,6.2200713,13.613946,-7.622649,-2.331371,-5.360916,-10.936716,-4.432464,-0.10785381,-4.510958,-2.4750175,-1.0334846,-5.6572866,0.9867198,-6.6560807,-3.2439773,-4.012729,-3.068496,198.47021,64.02903,34.54012,19.413979,18.118488,22.709612,11.858842,14.177256,16.735256,9.9509735,9.240955,9.695279,9.702303,6.316984,10.395213,4.8967733,9.850938,6.0533056,7.8736067,6.113291,-291.32953,196.40385,84.03043,54.604557,68.52081,29.956306,16.851807,23.995342,12.920461,22.687254,27.360764,17.246777,24.20806,13.646517,9.518374,18.272747,7.432266,10.870119,9.218437,13.583347
male,fear,-803.2566,57.53709,9.824237,19.6487,14.7189245,6.3337255,0.47146177,-1.4685004,3.8797724,2.0546663,-1.6835198,3.9990926,1.4093124,-3.1874843,1.9873898,1.4278002,0.38387114,0.63740957,-2.1585026,3.0004027,190.13025,50.69912,16.621122,20.645412,14.28511,12.475573,7.753513,9.947129,7.0693674,5.996953,7.180391,7.0288186,7.1927466,7.822478,6.4928246,5.494358,5.0863295,4.7140083,5.220897,3.4860842,-462.3414,158.55228,53.185524,78.76584,53.506767,35.173557,18.966702,16.381966,24.006529,18.70007,15.533625,30.749363,20.777205,10.38322,26.325586,16.789417,15.936195,12.888439,6.7183137,14.319906
male,happy,-652.70056,57.02253,0.41844025,18.289316,2.6309881,0.4183557,-2.5292726,-6.284705,-13.434198,-3.6181445,0.61698705,-4.589428,2.5763223,-4.2168145,-0.77875555,1.1893742,-7.2837725,-2.2791336,-1.2412019,-2.563009,197.30547,69.85067,22.725336,22.733356,19.456915,18.39583,13.273218,13.348994,18.890228,11.496057,11.457887,11.691517,9.171533,9.5496855,7.660407,5.439902,11.841737,6.542439,5.901494,6.3115153,-367.94427,208.83191,63.132195,86.58673,48.187546,46.714943,32.72042,21.336647,10.729174,17.77829,27.612772,16.847157,43.593258,9.636427,12.378359,17.187248,7.9101267,9.5733,10.853338,12.322847
male,disgust,-613.28876,47.951588,3.7413344,9.859426,-9.253013,4.412755,-8.412171,-10.120081,-4.2375984,-4.373463,1.30666,-7.2366548,0.6151847,-4.623148,-4.0081444,2.1893408,-5.3272943,0.8421033,0.4457218,1.7115617,179.11787,71.972595,24.483961,23.074463,21.391088,24.237268,17.463804,18.008593,14.123931,9.009112,15.57286,12.688183,8.304059,13.231927,10.85824,7.9553537,9.65962,7.3681626,6.663238,6.3489184,-335.7165,178.7525,58.18374,68.43534,23.2986,55.15531,23.301514,19.384502,27.070637,13.432716,48.318195,14.37694,20.670586,20.605736,18.522617,25.65036,10.918081,19.919357,18.970503,28.809727
female,angry,-577.73236,27.202396,-10.663375,-4.0691085,-9.579174,-7.151253,-5.5385604,-12.176257,-8.965185,-6.5626273,-5.3581176,-4.1356936,-8.408841,-3.441539,-8.810401,-4.782472,-4.1498766,0.23120467,2.9956343,4.5429063,181.48451,42.95405,24.63383,24.088114,18.880754,16.07634,14.992964,16.174456,13.255993,11.230616,9.027449,7.8179483,11.276152,7.070769,10.9985075,7.9512053,8.188595,11.756923,15.234502,16.473577,-274.0585,164.72726,31.84853,54.07038,12.878271,14.809969,30.458405,3.6120396,17.05855,10.421297,13.096897,12.9568205,8.778858,13.408855,0.7439181,8.226341,10.992857,45.176186,55.176937,55.685287
female,angry,-490.5031,23.53985,-16.328259,-0.10221599,-18.963533,-9.061003,-7.4005065,-12.254005,-8.472662,-3.595176,-8.703732,3.1439543,-6.5320115,-6.547725,0.041264065,-7.2021594,-2.768194,-3.6839297,-7.9715233,-2.2964182,166.5399,54.19738,38.90488,24.928133,27.053022,21.551807,12.595486,20.12527,12.319042,13.3373,11.02726,9.880639,10.519387,11.734828,6.831963,9.685074,7.3474164,7.1667404,9.673817,5.745887,-198.12933,135.883,56.85101,60.686256,18.087204,28.744663,14.168579,29.256453,24.205761,28.187391,8.123786,32.017857,21.256168,12.063763,20.300825,8.431243,17.37503,11.11731,6.871108,14.342173
male,happy,-549.6603,65.37474,-10.739662,17.20938,9.080263,-7.2956657,-3.4442737,-9.699301,-11.155634,0.7205189,-4.3185973,-6.163099,0.32032916,0.99110746,-3.4686863,-3.550363,-5.667605,-0.38120276,-1.8074604,-4.1310983,182.6578,73.885605,32.633514,22.518932,16.099901,23.751225,14.736018,15.197127,17.431622,10.266914,13.857564,9.826688,7.5074034,7.8116198,8.249145,7.611679,8.7599945,6.226151,5.2305427,5.8066587,-242.10585,213.59946,51.156586,79.89839,46.783463,39.62226,33.914467,13.895757,18.779137,38.874794,31.873837,8.724245,23.155315,16.156414,12.318342,10.021444,8.983876,11.392343,7.7133627,7.0906043
female,disgust,-580.0727,65.95309,3.9161823,5.080708,4.9359107,-2.4230037,-5.0631156,-14.62768,-0.89788634,4.7323594,-4.4346137,0.1575395,0.06341242,-3.088869,4.380045,-0.72081816,-2.8151116,-1.3357565,-3.3706918,-5.554397,154.67744,66.44089,23.55536,21.760181,16.08002,18.830008,17.121555,17.780758,10.553188,12.75257,16.886038,8.691053,8.797592,10.60971,7.1058826,11.385723,8.125432,6.5932007,6.6375213,7.1287327,-285.19266,188.58382,77.20999,72.27471,43.669403,25.828255,27.72566,10.665813,27.416788,28.583298,22.542751,17.94615,20.633318,13.399229,18.790552,21.164463,11.837746,19.745916,14.188589,5.3171597
male,angry,-403.66873,22.193512,-17.27593,-3.4200919,-5.434336,-5.5468307,-6.742002,-7.1334167,-7.848795,-6.4352956,-4.29881,-4.22214,-3.1660428,-3.725586,-6.0714993,-1.3191918,-5.8140707,0.40101406,4.014488,2.7354724,163.80159,43.43585,29.767536,16.815044,14.234004,15.40131,14.916502,13.447054,12.664394,11.316269,11.577155,7.660202,10.282123,7.8157263,10.456854,6.305752,9.504638,12.466526,13.9958935,15.983683,-99.77614,178.43678,20.170345,59.938538,13.434885,15.367937,13.617132,8.796766,8.519964,10.75181,31.064194,7.514778,20.679857,9.682652,7.0666285,17.825037,5.4103413,52.320396,57.286682,61.501625
male,neutral,-736.1229,92.02211,21.974056,31.902094,22.148632,9.448862,5.3015537,5.6076016,6.9287586,6.6251783,-0.1333169,8.49071,6.1544657,3.3451507,5.056842,3.1882288,4.832154,5.276023,-0.9336444,7.900013,151.92174,48.6271,20.177668,13.739588,13.897426,15.778654,13.024085,12.650593,10.70128,9.773534,10.77532,8.191194,8.3761635,9.5745945,6.545262,8.158741,5.4755707,5.759064,8.162434,7.4059496,-446.43564,197.56491,61.675446,69.88508,63.08047,30.152313,27.034859,27.479494,26.145142,22.800632,19.074295,30.485882,22.262768,21.652739,21.388279,18.125553,15.772099,17.434689,15.851567,30.375507
female,happy,-549.6481,29.457449,-11.859425,0.35977787,-6.8978143,-12.53013,-5.656981,-10.535828,-1.8281671,-5.6349545,-6.581183,-3.6074948,-10.018679,-1.3460451,-5.212935,1.3739712,4.9836617,8.118978,4.239915,4.66763,191.3024,45.282234,24.500835,24.640972,16.592382,21.486986,17.556334,16.945929,11.923342,9.660547,9.833717,9.042166,14.350738,7.0511775,10.735893,12.120837,15.678373,16.08496,9.904081,9.55842,-255.0282,135.37628,40.29599,73.37361,22.618908,20.146702,53.70732,13.599363,40.15267,14.402046,14.244994,22.516094,12.557389,15.701172,26.82803,40.92875,59.998703,60.258366,43.927002,41.7594
male,fear,-390.57605,49.59278,-8.152849,7.991509,1.7418267,5.7361064,-9.831394,-15.284448,-9.6089,-12.32766,1.6742666,-6.4549704,-10.241028,-0.527881,-3.5881834,3.4408336,-2.684299,-2.820112,0.62942743,1.3844547,182.31511,38.31233,25.703434,23.53638,24.097092,15.14929,14.980951,13.324244,10.46281,13.374058,10.424217,10.931733,11.331579,8.148681,9.221047,9.689041,9.085154,5.99964,9.749691,7.4329057,-63.11594,144.64603,48.41486,68.16384,39.790688,32.05444,13.238377,15.017479,10.520336,8.191609,24.228058,14.713871,10.299959,17.448715,16.369194,21.300331,19.659973,9.70433,17.382866,21.385914
female,calm,-674.3091,51.199993,3.120612,5.3383274,-0.3123463,-4.0678916,-4.7268786,-11.051495,-7.538234,-7.0951138,-9.238576,-1.6992631,-11.506299,-3.7127194,-2.2197738,-10.096196,-8.966937,-4.6117306,-6.872166,-6.5271764,171.82509,56.103115,24.073029,18.461624,16.15283,13.658224,12.771388,14.013048,12.279468,8.232501,11.559532,7.550192,13.236195,6.794035,6.3647575,10.156251,8.656581,6.9109116,7.5023193,7.272494,-422.91812,186.91638,68.49635,60.338036,30.994307,15.387976,23.461494,10.364855,34.694912,9.14896,13.828484,20.153336,8.412355,8.930397,11.434254,3.3487043,3.4222484,8.914173,4.602881,8.669631
female,surprise,-605.56903,29.68881,-10.149174,1.1256479,-10.512129,-5.9612064,-11.77138,-9.74152,-7.022239,-5.2015047,-6.8782706,-0.1528296,-7.5889883,-1.5919875,-1.153192,-4.57127,-2.4545183,-0.75565225,-1.868287,0.38430122,202.11716,53.09396,29.422138,24.763336,17.655859,15.297794,15.791898,14.085666,11.988065,8.1449,11.067981,7.644184,11.325554,8.16102,5.9421554,9.830819,8.348346,10.876758,12.177442,6.894985,-274.72235,157.72922,57.53174,52.602955,14.272113,25.269886,7.9917393,14.132755,13.89866,7.5151534,13.986784,30.986326,11.6045,16.415607,14.013708,16.443844,23.920708,51.511383,54.02591,27.569187
female,angry,-361.089,20.35724,-26.542664,-8.855534,-20.563604,-18.640947,-8.611228,-13.854032,-7.0043,-2.8904355,-3.3327775,0.24253239,-7.1913495,-0.34290487,-1.0721824,2.177518,4.607347,6.0350947,2.6763003,3.3572447,167.76112,42.83619,36.503815,27.325697,23.666418,24.59826,20.430733,15.025663,12.149794,12.157992,10.430519,12.280989,12.204478,13.230217,15.844083,9.451725,15.007421,14.131731,11.045156,10.727054,-43.227894,136.89195,48.25203,52.744934,3.995604,11.681969,55.12604,6.489202,15.807327,32.016617,30.4274,43.86405,14.104178,45.59413,47.43773,40.596886,60.19432,53.98601,52.27294,51.470856
female,angry,-539.91254,46.299046,-0.255205,12.372509,-6.6713943,-3.3484066,7.26141,-4.7181067,-3.349743,-4.319611,-0.9478496,-2.2409618,-0.9229979,1.1572497,-2.22672,-0.013062355,0.4041355,0.1692555,-0.02646006,1.8886505,152.44113,54.52879,27.668343,26.076952,19.108849,17.9281,11.006784,14.840517,10.694179,12.174401,11.845098,8.463806,10.287912,5.590128,9.205381,9.767437,7.250021,7.2847815,7.2175617,5.6911707,-258.08057,206.49037,70.039474,87.57826,16.152142,28.43077,47.076855,18.28121,30.962906,14.68169,24.728899,10.8006315,20.534542,16.291729,9.699276,19.416637,14.186827,14.242376,13.693268,18.136509
male,happy,-479.3951,55.127827,-16.727932,12.098017,4.379314,-12.06254,-4.058894,-5.55199,-15.203384,-1.1661336,-4.125969,-9.760888,-0.3362671,-4.507172,-4.8324094,-3.630125,-5.5419188,-4.116297,-3.38824,-4.696849,182.11574,66.296455,32.159275,24.853354,15.385749,23.669664,15.245168,13.695323,20.499928,10.142398,12.3384695,13.923325,7.7447586,9.644106,9.380096,6.396961,8.541256,7.3707557,5.1737895,7.010712,-201.10036,210.66705,55.097095,86.22081,47.721245,34.182053,36.992947,26.725262,11.656519,25.536655,22.074259,3.8553782,27.239437,9.599386,13.069577,7.840577,6.764186,11.4795475,8.810225,7.224029
male,disgust,-600.77997,61.937077,10.454112,15.238348,-0.93743676,7.586994,-7.072657,-9.415427,-3.6534302,0.92338216,0.33872733,-5.329275,4.277949,-4.2360444,0.4214791,2.7405398,-2.8895197,0.08178219,-1.1247965,4.1124377,155.90985,72.056816,24.213923,17.575848,24.898392,20.788836,17.332777,17.529982,12.417215,9.131808,11.032604,12.314296,9.296404,9.272089,10.574545,7.8539367,7.542193,8.358668,7.576118,4.557608,-326.08328,191.08812,70.365425,71.11557,49.420036,47.342796,24.89496,26.17947,22.49302,23.034237,31.23925,15.404661,32.728813,13.098654,27.902521,19.654652,13.746256,20.418749,12.485945,16.03343
female,happy,-611.13446,33.09898,-16.204868,1.0088569,-8.298964,-9.565987,-13.517891,-8.574171,-9.072194,-7.55817,-7.331517,-1.5948383,-8.245952,-5.233542,-2.5653334,-8.46194,-4.3121033,-4.258883,-7.1708074,-2.5862777,163.66864,59.017166,35.680977,20.724684,17.490242,14.1839905,19.485367,13.423972,13.534588,10.281283,10.129045,7.205005,10.869723,8.57444,6.8905125,10.33857,7.6647644,6.2256103,7.884177,5.692509,-326.2075,168.27109,50.796234,58.324993,26.559853,24.688486,22.532375,10.12705,17.223818,6.443683,17.08501,17.66333,12.602589,9.3448925,19.636635,5.1893806,12.924976,15.962834,4.5543594,12.314398
female,calm,-654.7285,46.224503,-8.825291,7.3819704,-7.828604,-2.755002,-5.140015,-9.549978,-4.8942904,-3.7259579,-2.7659783,-7.619688,-5.9758,-0.2112522,-6.542595,-4.1478953,-5.9785542,-4.043746,-4.7875557,-4.5536904,167.50366,52.228,30.39512,20.419855,17.368002,14.404907,13.794434,11.019368,11.767971,10.02713,7.288471,8.820573,9.315436,6.39095,8.065425,5.7026443,7.8693285,6.5261655,5.915469,6.4291344,-373.69202,172.77502,74.415794,73.69661,19.784233,25.221802,29.08968,2.100066,28.440327,16.356056,13.580055,3.630137,15.008564,16.687643,4.970607,7.0679426,8.119692,11.949107,8.415161,12.488354
female,fear,-438.20703,15.033668,-17.468126,-8.893362,-11.907525,-10.659394,-8.692335,-14.220006,-7.606932,-5.5634685,-6.337178,-4.788861,0.5511876,8.897499,2.514674,8.924019,5.604892,2.517762,4.84281,2.4606197,189.55356,37.436615,37.25545,23.588848,24.837624,18.851254,16.957804,18.979296,12.722124,12.399354,11.016266,8.829738,9.244609,17.183456,16.703505,14.169877,14.884931,16.079988,13.357881,10.102228,-76.127174,128.22397,44.169754,27.326458,25.448822,22.493141,28.068947,5.9099627,20.683157,20.266525,13.018848,21.237867,38.22618,67.04653,56.423454,56.94993,60.698284,62.95977,65.66145,42.89128
female,sad,-676.4511,41.66677,8.4287,10.835909,-5.0554414,-2.9257755,-9.881306,-10.149497,-2.4636052,-6.146785,-3.2205462,-3.4776483,-2.676035,-2.1989694,-3.8486724,-1.696741,-3.5636065,-0.3486596,-4.123478,0.07463622,170.60464,56.394608,26.763618,22.339489,18.050808,14.789443,17.11994,14.937724,10.033472,10.573248,7.9883804,8.342105,8.401343,5.575364,6.6910925,9.2723,6.8890276,6.5947623,9.49274,5.811105,-388.92422,173.61963,77.09284,67.05264,29.734457,24.007954,20.233986,11.716847,25.415825,14.120165,13.836953,11.321455,16.141598,10.310583,6.893858,23.033195,14.547729,19.621346,15.271925,18.704681
male,calm,-711.4437,59.387497,2.3157313,12.316387,10.619162,2.96564,0.9142426,-6.602664,-6.5438166,3.189111,3.096279,-1.2436765,5.909572,-0.24827503,-2.577717,5.170935,-4.216706,-0.8861132,2.4009376,-0.8753472,177.41966,67.70647,26.579243,13.917165,14.410109,13.927002,9.834223,15.549394,17.081717,8.965475,9.181261,8.136725,11.457163,9.746766,10.857712,6.975445,11.188597,6.4040194,5.5491066,5.941883,-358.28125,195.68616,62.1642,47.171753,55.858356,27.579613,13.884536,10.998289,20.436302,29.456936,21.630783,9.495802,41.94542,15.760669,10.052014,28.522522,11.538534,12.457075,17.168854,7.8090763
